"Date","Price","Open","High","Low","Vol.","Change %"
"18/07/2022","31,072.61","31,475.98","31,644.68","30,982.97","309.96M","-0.69%"
"19/07/2022","31,827.05","31,165.91","31,842.25","31,165.91","379.95M","2.43%"
"20/07/2022","31,874.84","31,829.99","31,944.45","31,646.95","319.14M","0.15%"
"21/07/2022","32,036.90","31,826.49","32,040.63","31,534.08","304.09M","0.51%"
"22/07/2022","31,899.29","32,167.92","32,219.25","31,731.47","320.97M","-0.43%"
"25/07/2022","31,990.04","31,950.93","32,029.03","31,821.67","264.61M","0.28%"
"26/07/2022","31,761.54","31,950.04","31,950.04","31,705.36","330.70M","-0.71%"
"27/07/2022","32,197.59","31,865.05","32,336.23","31,799.43","367.62M","1.37%"
"28/07/2022","32,529.63","32,197.62","32,609.54","31,982.61","350.63M","1.03%"
"29/07/2022","32,845.13","32,515.62","32,910.18","32,493.02","490.27M","0.97%"
"01/08/2022","32,798.40","32,755.71","32,972.03","32,640.79","325.50M","-0.14%"
"02/08/2022","32,396.17","32,691.29","32,772.93","32,387.12","320.39M","-1.23%"
"03/08/2022","32,812.50","32,514.21","32,912.74","32,514.21","344.30M","1.29%"
"04/08/2022","32,726.82","32,805.69","32,829.22","32,652.63","318.77M","-0.26%"
"05/08/2022","32,803.47","32,593.90","32,814.61","32,489.62","276.17M","0.23%"
"08/08/2022","32,832.54","32,877.36","33,109.96","32,769.10","279.11M","0.09%"
"09/08/2022","32,774.41","32,807.36","32,877.53","32,702.66","283.45M","-0.18%"
"10/08/2022","33,309.51","33,130.63","33,364.41","33,130.63","317.91M","1.63%"
"11/08/2022","33,336.67","33,451.51","33,651.80","33,289.83","309.72M","0.08%"
"12/08/2022","33,761.05","33,430.72","33,767.09","33,398.32","299.14M","1.27%"
"15/08/2022","33,912.44","33,710.70","33,954.71","33,582.96","263.72M","0.45%"
"16/08/2022","34,152.01","33,924.35","34,281.36","33,852.57","291.75M","0.71%"
"17/08/2022","33,980.32","34,029.55","34,161.01","33,828.41","285.73M","-0.50%"
"18/08/2022","33,999.04","33,981.86","34,043.83","33,844.46","284.14M","0.06%"
"19/08/2022","33,706.74","33,904.69","33,904.69","33,627.09","298.43M","-0.86%"
"22/08/2022","33,063.61","33,586.59","33,586.59","33,007.63","308.90M","-1.91%"
"23/08/2022","32,909.59","33,033.52","33,138.26","32,858.89","254.46M","-0.47%"
"24/08/2022","32,969.23","32,899.01","33,095.50","32,828.56","258.94M","0.18%"
"25/08/2022","33,291.78","33,029.27","33,306.09","32,889.85","308.53M","0.98%"
"26/08/2022","32,283.40","33,293.43","33,364.70","32,278.22","352.85M","-3.03%"
"29/08/2022","32,098.99","32,188.00","32,325.16","31,972.79","320.09M","-0.57%"
"30/08/2022","31,790.87","32,163.84","32,205.66","31,647.22","328.64M","-0.96%"
"31/08/2022","31,510.43","31,827.15","31,966.04","31,509.59","392.78M","-0.88%"
"01/09/2022","31,656.42","31,454.58","31,677.51","31,219.75","339.36M","0.46%"
"02/09/2022","31,318.44","31,848.50","32,026.90","31,182.09","306.18M","-1.07%"
"06/09/2022","31,145.30","31,343.79","31,463.89","31,048.46","348.98M","-0.55%"
"07/09/2022","31,581.28","31,145.63","31,644.34","31,095.21","355.10M","1.40%"
"08/09/2022","31,774.52","31,481.95","31,783.37","31,321.50","344.34M","0.61%"
"09/09/2022","32,151.71","31,876.22","32,227.74","31,876.22","312.40M","1.19%"
"12/09/2022","32,381.34","32,159.49","32,504.04","32,159.49","343.96M","0.71%"
"13/09/2022","31,104.97","32,006.50","32,006.50","31,018.54","433.80M","-3.94%"
"14/09/2022","31,135.09","31,141.02","31,276.82","30,885.02","353.88M","0.10%"
"15/09/2022","30,961.82","31,124.68","31,277.69","30,882.08","349.09M","-0.56%"
"16/09/2022","30,822.42","30,866.61","30,866.61","30,550.08","627.92M","-0.45%"
"19/09/2022","31,019.68","30,722.86","31,026.89","30,559.37","296.57M","0.64%"
"20/09/2022","30,706.23","30,888.53","30,888.53","30,465.91","320.69M","-1.01%"
"21/09/2022","30,183.78","30,819.39","31,020.79","30,181.99","354.96M","-1.70%"
"22/09/2022","30,076.68","30,204.52","30,302.28","29,994.53","335.27M","-0.35%"
"23/09/2022","29,590.41","29,955.65","29,955.65","29,250.47","389.45M","-1.62%"
"26/09/2022","29,260.81","29,536.84","29,630.77","29,161.12","374.49M","-1.11%"
"27/09/2022","29,134.99","29,419.88","29,659.12","28,958.22","356.59M","-0.43%"
"28/09/2022","29,683.74","29,198.92","29,811.78","29,114.97","439.14M","1.88%"
"29/09/2022","29,225.61","29,513.73","29,513.73","28,997.34","392.42M","-1.54%"
"30/09/2022","28,725.51","29,123.03","29,355.78","28,715.85","466.86M","-1.71%"
"03/10/2022","29,490.89","28,855.25","29,647.79","28,855.25","397.83M","2.66%"
"04/10/2022","30,316.32","29,826.67","30,325.05","29,826.67","379.03M","2.80%"
"05/10/2022","30,273.87","30,078.36","30,454.46","29,886.44","292.04M","-0.14%"
"06/10/2022","29,926.94","30,206.13","30,329.61","29,859.34","308.95M","-1.15%"
"07/10/2022","29,296.79","29,685.27","29,685.27","29,142.66","370.38M","-2.11%"
"10/10/2022","29,202.88","29,419.09","29,485.82","29,010.41","318.47M","-0.32%"
"11/10/2022","29,239.19","29,085.20","29,608.42","29,074.23","358.47M","0.12%"
"12/10/2022","29,210.85","29,233.06","29,455.12","29,136.03","306.53M","-0.10%"
"13/10/2022","30,038.72","28,755.83","30,168.54","28,660.94","472.67M","2.83%"
"14/10/2022","29,634.83","30,192.21","30,428.82","29,614.30","380.98M","-1.34%"
"17/10/2022","30,185.82","30,059.58","30,311.95","29,997.62","374.23M","1.86%"
"18/10/2022","30,523.80","30,697.52","30,837.90","30,301.83","390.76M","1.12%"
"19/10/2022","30,423.81","30,439.04","30,662.11","30,226.90","315.54M","-0.33%"
"20/10/2022","30,333.59","30,411.92","30,822.96","30,265.20","333.19M","-0.30%"
"21/10/2022","31,082.56","30,291.18","31,119.27","30,206.28","418.19M","2.47%"
"24/10/2022","31,499.62","31,187.32","31,603.63","31,161.41","345.04M","1.34%"
"25/10/2022","31,836.74","31,463.65","31,876.15","31,423.53","342.09M","1.07%"
"26/10/2022","31,839.11","31,738.44","32,172.42","31,738.44","430.40M","0.01%"
"27/10/2022","32,033.28","32,062.14","32,388.42","31,993.21","392.53M","0.61%"
"28/10/2022","32,861.80","32,204.31","32,889.81","32,158.38","499.42M","2.59%"
"31/10/2022","32,732.95","32,754.27","32,883.86","32,586.93","394.10M","-0.39%"
"01/11/2022","32,653.20","32,862.79","32,975.48","32,485.23","325.57M","-0.24%"
"02/11/2022","32,147.76","32,576.28","33,071.93","32,139.77","399.65M","-1.55%"
"03/11/2022","32,001.25","31,985.05","32,185.71","31,727.05","357.27M","-0.46%"
"04/11/2022","32,403.22","32,265.01","32,611.52","31,938.92","425.48M","1.26%"
"07/11/2022","32,827.00","32,454.10","32,895.59","32,424.99","341.10M","1.31%"
"08/11/2022","33,160.83","32,934.56","33,355.39","32,831.46","342.88M","1.02%"
"09/11/2022","32,513.94","33,004.47","33,065.11","32,478.87","360.82M","-1.95%"
"10/11/2022","33,715.37","33,263.91","33,727.73","33,167.82","488.26M","3.70%"
"11/11/2022","33,747.86","33,797.75","33,817.96","33,394.43","430.72M","0.10%"
"14/11/2022","33,536.70","33,662.05","33,964.30","33,533.96","360.59M","-0.63%"
"15/11/2022","33,592.92","33,755.94","33,987.06","33,320.20","391.84M","0.17%"
"16/11/2022","33,553.83","33,554.93","33,682.83","33,516.99","305.54M","-0.12%"
"17/11/2022","33,546.32","33,329.27","33,616.02","33,239.75","321.57M","-0.02%"
"18/11/2022","33,745.69","33,606.59","33,827.94","33,540.64","314.53M","0.59%"
"21/11/2022","33,700.28","33,760.30","33,864.59","33,559.18","352.96M","-0.13%"
"22/11/2022","34,098.10","33,810.05","34,115.70","33,810.05","279.60M","1.18%"
"23/11/2022","34,194.06","34,091.57","34,262.07","34,004.64","236.82M","0.28%"
"25/11/2022","34,347.03","34,213.04","34,386.51","34,199.57","131.93M","0.45%"
"28/11/2022","33,849.46","34,275.91","34,303.88","33,799.35","303.02M","-1.45%"
"29/11/2022","33,852.53","33,847.80","33,933.91","33,662.45","282.17M","0.01%"
"30/11/2022","34,589.77","33,795.43","34,589.77","33,583.77","552.49M","2.18%"
"01/12/2022","34,395.01","34,533.59","34,595.51","34,129.35","349.58M","-0.56%"
"02/12/2022","34,429.88","34,265.45","34,483.21","34,039.73","291.06M","0.10%"
"05/12/2022","33,947.10","34,335.73","34,335.73","33,846.81","315.96M","-1.40%"
"06/12/2022","33,596.34","33,936.87","34,006.63","33,418.59","307.79M","-1.03%"
"07/12/2022","33,597.92","33,556.40","33,774.27","33,503.67","295.40M","0.00%"
"08/12/2022","33,781.48","33,695.97","33,899.17","33,642.46","272.73M","0.55%"
"09/12/2022","33,476.46","33,746.71","33,844.63","33,462.65","292.62M","-0.90%"
"12/12/2022","34,005.04","33,519.50","34,005.04","33,519.50","321.12M","1.58%"
"13/12/2022","34,108.64","34,268.44","34,712.28","33,890.88","443.98M","0.30%"
"14/12/2022","33,966.35","34,086.07","34,395.65","33,704.17","344.32M","-0.42%"
"15/12/2022","33,202.22","33,773.00","33,773.00","33,016.16","394.30M","-2.25%"
"16/12/2022","32,920.46","33,166.46","33,166.46","32,654.59","788.12M","-0.85%"
"19/12/2022","32,757.54","32,921.45","33,038.94","32,581.97","330.04M","-0.49%"
"20/12/2022","32,849.74","32,735.24","32,992.23","32,649.45","303.98M","0.28%"
"21/12/2022","33,376.48","33,028.09","33,437.84","33,028.09","328.02M","1.60%"
"22/12/2022","33,027.49","33,233.35","33,233.35","32,573.43","342.11M","-1.05%"
"23/12/2022","33,203.93","32,961.06","33,226.14","32,814.02","221.05M","0.53%"
"27/12/2022","33,241.56","33,224.23","33,387.72","33,069.58","246.02M","0.11%"
"28/12/2022","32,875.71","33,264.76","33,379.55","32,869.15","254.30M","-1.10%"
"29/12/2022","33,220.80","33,021.43","33,293.42","33,020.35","245.84M","1.05%"
"30/12/2022","33,147.25","33,121.61","33,152.55","32,847.82","296.19M","-0.22%"
"03/01/2023","33,136.37","33,148.90","33,387.52","32,850.57","358.61M","-0.03%"
"04/01/2023","33,269.77","33,165.14","33,409.10","33,033.48","383.35M","0.40%"
"05/01/2023","32,930.08","33,191.72","33,191.72","32,812.33","342.66M","-1.02%"
"06/01/2023","33,630.61","33,055.30","33,710.66","32,997.39","365.50M","2.13%"
"09/01/2023","33,517.65","33,664.39","33,935.11","33,487.66","327.85M","-0.34%"
"10/01/2023","33,704.10","33,516.43","33,726.54","33,421.80","269.50M","0.56%"
"11/01/2023","33,973.01","33,754.03","33,974.69","33,711.04","301.65M","0.80%"
"12/01/2023","34,189.97","34,047.86","34,292.67","33,792.10","308.20M","0.64%"
"13/01/2023","34,302.61","34,075.31","34,342.32","33,915.49","274.12M","0.33%"
"17/01/2023","33,910.85","34,222.32","34,269.97","33,860.67","355.39M","-1.14%"
"18/01/2023","33,296.96","33,948.49","34,016.53","33,269.90","354.57M","-1.81%"
"19/01/2023","33,044.56","33,171.35","33,227.49","32,982.05","321.33M","-0.76%"
"20/01/2023","33,375.49","33,073.46","33,381.95","32,948.93","369.42M","1.00%"
"23/01/2023","33,629.56","33,439.56","33,782.88","33,316.25","357.54M","0.76%"
"24/01/2023","33,733.96","33,444.72","33,782.92","33,310.56","305.71M","0.31%"
"25/01/2023","33,743.84","33,538.36","33,773.09","33,273.21","344.39M","0.03%"
"26/01/2023","33,949.41","33,771.66","33,953.79","33,635.60","333.74M","0.61%"
"27/01/2023","33,978.08","33,952.93","34,164.33","33,830.85","444.13M","0.08%"
"30/01/2023","33,717.09","33,909.21","34,055.29","33,695.18","346.04M","-0.77%"
"31/01/2023","34,086.04","33,803.56","34,095.23","33,664.91","360.25M","1.09%"
"01/02/2023","34,092.96","34,039.60","34,334.70","33,581.42","370.13M","0.02%"
"02/02/2023","34,053.94","34,129.30","34,145.14","33,814.78","442.57M","-0.11%"
"03/02/2023","33,926.01","33,926.30","34,179.58","33,813.86","425.15M","-0.38%"
"06/02/2023","33,891.02","33,874.44","33,962.84","33,683.58","296.40M","-0.10%"
"07/02/2023","34,156.69","33,769.78","34,240.00","33,634.10","361.63M","0.78%"
"08/02/2023","33,949.01","34,132.90","34,161.65","33,899.79","324.09M","-0.61%"
"09/02/2023","33,699.88","34,105.61","34,252.57","33,607.13","347.53M","-0.73%"
"10/02/2023","33,869.27","33,671.54","33,897.31","33,591.99","289.72M","0.50%"
"13/02/2023","34,245.93","33,887.39","34,249.60","33,887.39","303.58M","1.11%"
"14/02/2023","34,089.27","34,194.09","34,331.47","33,827.45","291.75M","-0.46%"
"15/02/2023","34,128.05","34,008.63","34,130.49","33,833.10","269.85M","0.11%"
"16/02/2023","33,696.85","33,992.09","34,041.16","33,686.59","317.54M","-1.26%"
"17/02/2023","33,826.69","33,677.01","33,846.64","33,517.73","303.77M","0.39%"
"21/02/2023","33,129.59","33,699.69","33,699.69","33,115.74","348.32M","-2.06%"
"22/02/2023","33,045.09","33,169.33","33,245.97","32,948.27","325.33M","-0.26%"
"23/02/2023","33,153.91","33,175.39","33,272.40","32,795.67","288.13M","0.33%"
"24/02/2023","32,816.92","32,999.19","32,999.19","32,643.48","277.12M","-1.02%"
