"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2022","161.91","164.79","165.00","161.69","5.89M","-1.94%"
"07/10/2022","160.20","161.77","162.22","159.17","6.36M","-1.06%"
"10/10/2022","160.41","160.63","161.28","159.18","5.32M","0.13%"
"11/10/2022","162.73","160.37","164.11","160.37","6.21M","1.45%"
"12/10/2022","162.69","162.94","164.88","162.49","4.34M","-0.02%"
"13/10/2022","165.15","160.89","165.99","160.75","6.47M","1.51%"
"14/10/2022","164.46","164.44","165.68","163.60","5.68M","-0.42%"
"17/10/2022","166.59","165.40","167.21","165.01","6.71M","1.30%"
"18/10/2022","166.01","165.00","167.17","163.05","10.88M","-0.35%"
"19/10/2022","164.69","166.00","166.25","163.89","10.04M","-0.80%"
"20/10/2022","165.11","165.00","165.74","164.33","5.66M","0.26%"
"21/10/2022","168.71","164.71","169.37","164.43","8.49M","2.18%"
"24/10/2022","170.98","169.81","172.08","169.25","6.86M","1.35%"
"25/10/2022","170.71","170.17","171.11","168.52","5.66M","-0.16%"
"26/10/2022","172.21","171.32","172.57","170.52","6.12M","0.88%"
"27/10/2022","172.31","172.35","173.43","171.72","5.39M","0.06%"
"28/10/2022","174.87","173.00","175.39","172.59","6.07M","1.49%"
"31/10/2022","173.97","174.52","175.16","173.42","7.81M","-0.51%"
"01/11/2022","173.09","174.06","174.63","170.42","6.99M","-0.51%"
"02/11/2022","170.43","172.89","173.94","170.29","6.88M","-1.54%"
"03/11/2022","170.72","169.81","171.47","168.94","4.82M","0.17%"
"04/11/2022","171.48","171.56","172.50","169.24","5.30M","0.45%"
"07/11/2022","172.98","171.67","173.85","171.44","6.62M","0.87%"
"08/11/2022","173.84","173.13","174.69","172.18","5.15M","0.50%"
"09/11/2022","172.45","174.27","175.00","172.34","6.15M","-0.80%"
"10/11/2022","174.47","174.35","174.77","172.04","7.88M","1.17%"
"11/11/2022","169.25","172.73","173.11","166.82","11.07M","-2.99%"
"14/11/2022","171.91","170.25","173.26","170.25","6.58M","1.57%"
"15/11/2022","172.39","172.19","173.00","170.52","9.35M","0.28%"
"16/11/2022","173.46","173.64","174.99","173.13","5.50M","0.62%"
"17/11/2022","174.86","173.00","174.99","172.98","4.47M","0.81%"
"18/11/2022","176.20","175.00","176.64","174.62","6.56M","0.77%"
"21/11/2022","175.97","175.89","176.55","174.83","5.71M","-0.13%"
"22/11/2022","176.82","176.40","177.19","176.33","4.71M","0.48%"
"23/11/2022","177.01","176.44","177.40","176.01","5.39M","0.11%"
"25/11/2022","177.24","177.38","178.12","176.86","3.06M","0.13%"
"28/11/2022","177.33","176.75","177.77","176.56","6.18M","0.05%"
"29/11/2022","176.09","177.01","177.26","174.66","6.70M","-0.70%"
"30/11/2022","178.00","176.37","178.01","174.78","13.29M","1.08%"
"01/12/2022","178.74","179.00","179.96","177.77","6.28M","0.42%"
"02/12/2022","178.88","177.50","178.96","176.96","5.82M","0.08%"
"05/12/2022","178.78","178.36","179.36","178.00","5.12M","-0.06%"
"06/12/2022","176.10","179.92","180.00","175.93","7.94M","-1.50%"
"07/12/2022","177.17","176.57","177.88","176.23","5.70M","0.61%"
"08/12/2022","177.20","176.82","177.47","176.34","4.80M","0.02%"
"09/12/2022","175.74","177.12","177.89","175.66","4.56M","-0.82%"
"12/12/2022","177.84","175.95","177.87","175.60","4.88M","1.19%"
"13/12/2022","179.21","179.10","180.20","178.31","9.18M","0.77%"
"14/12/2022","179.76","178.58","181.04","178.58","9.53M","0.31%"
"15/12/2022","177.49","179.20","179.84","176.40","7.60M","-1.26%"
"16/12/2022","175.67","177.00","177.00","174.86","18.84M","-1.03%"
"19/12/2022","175.48","175.35","176.16","174.07","5.74M","-0.11%"
"20/12/2022","175.67","176.00","176.44","175.17","6.17M","0.11%"
"21/12/2022","177.68","176.27","178.18","175.65","5.47M","1.14%"
"22/12/2022","177.03","176.77","177.51","175.34","5.71M","-0.37%"
"23/12/2022","177.48","176.67","177.52","175.81","3.68M","0.25%"
"27/12/2022","177.43","178.11","178.35","176.99","3.07M","-0.03%"
"28/12/2022","176.66","177.76","178.45","176.65","2.65M","-0.43%"
"29/12/2022","177.56","177.55","178.30","177.07","2.83M","0.51%"
"30/12/2022","176.65","177.49","177.77","175.40","4.22M","-0.51%"
"03/01/2023","178.19","176.16","178.38","176.01","6.34M","0.87%"
"04/01/2023","180.13","178.89","180.19","178.48","9.79M","1.09%"
"05/01/2023","178.80","179.02","179.99","178.41","6.26M","-0.74%"
"06/01/2023","180.25","180.13","180.93","179.39","5.71M","0.81%"
"09/01/2023","175.58","179.30","179.76","175.18","7.93M","-2.59%"
"10/01/2023","175.16","175.70","176.14","174.32","5.05M","-0.24%"
"11/01/2023","174.88","175.57","175.72","172.11","6.49M","-0.16%"
"12/01/2023","174.00","174.26","174.71","172.80","4.27M","-0.50%"
"13/01/2023","173.43","173.19","174.01","172.38","6.09M","-0.33%"
"17/01/2023","172.36","174.00","174.58","172.09","6.05M","-0.62%"
"18/01/2023","169.76","171.65","172.00","169.71","7.05M","-1.51%"
"19/01/2023","169.53","169.03","171.28","168.71","6.94M","-0.14%"
"20/01/2023","168.74","170.10","170.11","167.48","8.62M","-0.47%"
"23/01/2023","168.31","169.10","169.63","167.95","8.43M","-0.25%"
"24/01/2023","168.31","175.00","175.00","166.01","10.54M","0.00%"
"25/01/2023","169.51","167.17","169.51","167.08","7.10M","0.71%"
"26/01/2023","168.89","169.55","169.91","168.65","6.95M","-0.37%"
"27/01/2023","168.23","168.54","168.87","167.77","6.06M","-0.39%"
"30/01/2023","162.00","167.93","168.54","161.08","23.26M","-3.70%"
"31/01/2023","163.42","161.70","163.43","161.05","11.61M","0.88%"
"01/02/2023","164.92","162.99","165.98","162.40","9.87M","0.92%"
"02/02/2023","165.54","163.00","166.22","162.82","10.10M","0.38%"
"03/02/2023","164.61","166.03","166.34","163.89","6.87M","-0.56%"
"06/02/2023","163.36","164.55","164.85","163.10","7.02M","-0.76%"
"07/02/2023","163.40","161.60","163.88","161.42","7.31M","0.02%"
"08/02/2023","163.61","163.30","164.56","162.90","6.05M","0.13%"
"09/02/2023","161.40","163.63","164.79","161.07","7.95M","-1.35%"
"10/02/2023","162.15","161.77","162.79","161.35","7.03M","0.46%"
"13/02/2023","162.75","161.33","162.82","161.15","6.41M","0.37%"
"14/02/2023","162.04","162.74","162.97","161.76","6.32M","-0.44%"
"15/02/2023","159.37","161.95","161.98","159.29","12.63M","-1.65%"
"16/02/2023","158.24","159.07","159.65","157.92","11.18M","-0.71%"
"17/02/2023","160.39","157.02","161.11","156.62","12.40M","1.36%"
"21/02/2023","158.00","159.65","160.35","157.89","9.42M","-1.49%"
"22/02/2023","157.78","158.50","158.85","157.37","9.82M","-0.14%"
"23/02/2023","157.73","157.71","158.59","156.67","9.39M","-0.03%"
"24/02/2023","155.97","156.65","156.85","155.21","8.69M","-1.12%"
"27/02/2023","155.63","156.45","156.90","155.08","7.27M","-0.22%"
"28/02/2023","153.26","154.98","155.27","153.04","9.06M","-1.52%"
"01/03/2023","152.57","153.01","153.24","151.91","6.77M","-0.45%"
"02/03/2023","152.45","151.75","152.76","151.23","8.77M","-0.08%"
"03/03/2023","154.02","153.37","154.12","152.84","5.75M","1.03%"
"06/03/2023","155.56","154.66","155.73","154.57","8.15M","1.00%"
"07/03/2023","154.09","156.09","156.25","153.35","7.46M","-0.94%"
"08/03/2023","152.96","153.98","154.20","152.48","6.23M","-0.73%"
"09/03/2023","151.24","153.46","153.60","150.71","7.44M","-1.12%"
"10/03/2023","151.61","151.86","153.49","151.10","8.50M","0.24%"
"13/03/2023","153.06","152.09","155.91","151.57","10.80M","0.96%"
"14/03/2023","153.92","153.28","154.03","151.90","8.42M","0.56%"
"15/03/2023","154.35","152.84","154.89","152.53","7.76M","0.28%"
"16/03/2023","154.03","153.45","154.37","152.60","7.61M","-0.21%"
"17/03/2023","152.38","154.48","154.95","152.30","20.54M","-1.07%"
"20/03/2023","153.89","152.47","154.07","152.38","7.13M","0.99%"
"21/03/2023","153.89","154.00","154.13","152.17","8.38M","0.00%"
"22/03/2023","151.05","153.85","154.06","151.03","7.94M","-1.85%"
"23/03/2023","151.13","151.18","151.69","150.11","9.05M","0.05%"
"24/03/2023","152.65","151.48","152.76","150.83","5.70M","1.01%"
"27/03/2023","153.30","154.20","154.54","153.11","6.77M","0.43%"
"28/03/2023","151.82","152.39","153.45","151.73","6.12M","-0.97%"
"29/03/2023","153.31","152.24","153.38","152.07","6.01M","0.98%"
"30/03/2023","153.43","153.58","153.80","152.81","4.56M","0.08%"
"31/03/2023","155.00","153.79","155.19","153.24","9.89M","1.02%"
"03/04/2023","156.85","154.95","157.01","153.94","6.84M","1.19%"
"04/04/2023","158.49","156.97","158.97","156.59","8.31M","1.05%"
"05/04/2023","165.61","164.37","165.66","162.76","16.70M","4.49%"
"06/04/2023","165.15","165.99","167.23","164.80","9.62M","-0.28%"
"10/04/2023","164.32","164.63","164.84","163.64","5.35M","-0.50%"
"11/04/2023","164.27","164.42","165.28","164.04","5.90M","-0.03%"
"12/04/2023","163.92","163.94","164.84","163.10","5.76M","-0.21%"
"13/04/2023","166.11","164.18","166.33","163.80","5.64M","1.34%"
"14/04/2023","165.84","165.97","166.12","164.06","7.23M","-0.16%"
"17/04/2023","165.67","165.74","166.24","164.94","8.05M","-0.10%"
"18/04/2023","161.01","164.25","164.69","159.65","14.57M","-2.81%"
"19/04/2023","162.53","161.99","162.68","161.17","6.75M","0.94%"
